[2025-12-05 20:36:32] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 20:37:06] 执行者: 用户 | 操作: 发送消息 | 详情: 消息内容: 你呢...
[2025-12-05 20:37:19] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 20:37:36] 执行者: 用户 | 操作: 发送消息 | 详情: 消息内容: 你好...
[2025-12-05 20:40:13] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 20:42:09] 执行者: 用户 | 操作: 发送消息 | 详情: 消息内容: 猫猫...
[2025-12-05 20:44:11] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 20:47:08] 执行者: 用户 | 操作: 发送消息 | 详情: 消息内容: 你知道豆包吗...
[2025-12-05 20:54:43] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 20:58:48] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:00:18] 执行者: 用户 | 操作: 发送消息 | 详情: 消息内容: 你是谁...
[2025-12-05 21:05:14] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:07:31] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:07:40] 执行者: 用户 | 操作: 发送消息 | 详情: 消息内容: 你好...
[2025-12-05 21:08:47] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:16:01] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:17:44] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:18:18] 执行者: 用户 | 操作: 发送消息 | 详情: 消息内容: 好家伙，你怎么不说话了...
[2025-12-05 21:20:50] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:21:27] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:22:25] 执行者: 系统 | 操作: 启动 | 详情: AI对话软件启动成功
[2025-12-05 21:47:47.151] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 21:51:41.432] 执行者: 用户 | 操作: 发送消息 | 当前模型: deepseek-v3.1 | 对话ID: conv_1 | 详情: 消息内容: 杀一人你屠一城...
[2025-12-05 21:58:26.986] 执行者: 用户 | 操作: 发送消息 | 当前模型: deepseek-v3.1 | 对话ID: conv_1 | 详情: 消息内容: 羞羞答答...
[2025-12-05 23:05:24.726] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:09:10.757] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:13:37.335] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:14:00.237] 执行者: 用户 | 操作: 发送消息 | 当前模型: deepseek-v3.1 | 对话ID: conv_1 | 详情: 消息内容: 你好呀...
[2025-12-05 23:15:09.521] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:16:16.976] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:18:43.414] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:21:25.961] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:24:10.282] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:26:22.515] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:28:47.390] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:30:03.166] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
[2025-12-05 23:30:39.454] 执行者: 系统 | 操作: 启动 | 当前模型: 未配置 | 对话ID: None | 详情: AI对话软件启动成功
